Наименование,Цена,Количество
"Штангенциркуль 300 мм ШЦ-I 0,05 кл.1 с глубиномером КАЛИБРОН",7400₽/шт, 16 шт
"Штангенциркуль 400 мм ШЦ-III 0,05 КАЛИБРОН",10500₽/шт, 4 шт
"Штангенциркуль 400 мм ШЦ-III 0,1 кл.1 ГОСТ166-89 СтИЗ",9280₽/шт, 0 шт
"Штангенциркуль 500 мм ШЦ-III 0,05 КАЛИБРОН",12700₽/шт, 6 шт
"Штангенциркуль 630 мм ШЦ-III 0,05 КАЛИБРОН",19600₽/шт, 1 шт
"Штангенциркуль 800 мм ШЦ-III 0,05 КАЛИБРОН",27800₽/шт, 2 шт
"Штангенциркуль цифровой ШЦЦ-125 кл.1 0,01 ""GRIFF""",3275₽/шт, 5 шт
"Штангенциркуль цифровой ШЦЦ-150 кл.1 0,01 ""GRIFF""",2825₽/шт, 7 шт
"Набор щупов 70 мм №1 (0,02-0,1мм) 8 шт",150₽/шт, 62 шт
"Набор щупов 70 мм №2 (0,02-0,5) 17 шт",195₽/шт, 26 шт
"Набор щупов 70 мм №3 (0,5-1,0) 10 шт",190₽/шт, 29 шт
"Набор щупов 70 мм №4 (0,1-1,0) 10шт",152₽/шт, 357 шт
"Набор щупов 100 мм №1 (0,03-0,1мм) 9 шт",276₽/шт, 19 шт
"Набор щупов100 мм №2 (0,02-0,5) 17шт",240₽/шт, 49 шт
Резьбомер Д 55 (дюйм) (шаблон резьбовой),79₽/шт, 142 шт
Резьбомер М 60 (метр) (шаблон резьбовой),83₽/шт, 158 шт
Шаблон радиусный № 1,520₽/шт, 12 шт
Шаблон радиусный № 2,520₽/шт, 3 шт
Шаблон радиусный № 3,340₽/шт, 10 шт
Шаблон сварщика универ. УШС-2,1230₽/шт, 11 шт
Шаблон сварщика универ. УШС-3,2930₽/шт, 15 шт
"Индикатор ИЧ-10 б/ушка кл. 1 ""GRIFF""",1395₽/шт, 0 шт
"Индикатор ИЧ-10 с ушком кл. 1 ""GRIFF""",1395₽/шт, 0 шт
"Индикатор ИЧ-25 кл. 1 ""GRIFF""",2420₽/шт, 2 шт
"Индикатор ИЧ-50 кл. 1 ""GRIFF""",7445₽/шт, 2 шт
"Нутромер индикаторный НИ- 50М (18-50 мм, ц.д. 0,01мм) ""ТехноСталь""",6400₽/шт, 0 шт
"Нутромер индикаторный НИ- 100М (50-100мм, ц.д. 0,01мм) ""GRIFF""",9700₽/шт, 0 шт
"Нутромер индикаторный НИ- 160М (100-160мм, ц.д. 0,01мм) ""GRIFF""",9700₽/шт, 1 шт
"Нутромер индикаторный НИ- 250М (160-250 мм, ц.д. 0,01мм) ""GRIFF""",9965₽/шт, 0 шт
"Нутромер микрометрич. НМ- 50- 75 ц.д.0,01 ""GRIFF""",11345₽/шт, 1 шт
"Нутромер микрометрич. НМ- 50-175 ц.д.0,01 ""GRIFF""",12300₽/шт, 2 шт
"Нутромер микрометрич. НМ- 50-600 ц.д.0,01 ""GRIFF""",18100₽/шт, 1 шт
"Микрометр гладкий МК 0-25 кл.1 ""GRIFF""",2055₽/шт, 2 шт
"Микрометр гладкий МК 25-50 кл.1 ""GRIFF""",2350₽/шт, 0 шт
"Микрометр гладкий МК 50-75 кл.1 ""GRIFF""",2930₽/шт, 3 шт
"Микрометр гладкий МК 75-100 кл.1 ""GRIFF""",3185₽/шт, 1 шт
"Микрометр гладкий МК 100-125 кл.1 ""GRIFF""",3495₽/шт, 3 шт
"Микрометр гладкий МК 125-150 кл.1 ""GRIFF""",4000₽/шт, 0 шт
"Микрометр гладкий МК 150-175 кл.1 ""GRIFF""",4570₽/шт, 0 шт
"Микрометр гладкий МК 175-200 кл.1 ""GRIFF""",5050₽/шт, 1 шт
"Микрометр гладкий МК 200-225 кл.1 ""GRIFF""",5150₽/шт, 0 шт
"Микрометр гладкий МК 225-250 кл.1 ""GRIFF""","5650,4₽/шт", 0 шт
"Угольник слесарный УП- 250х160 кл.2 ""Техносталь""",3180₽/шт, 6 шт
"Угольник слесарный УП- 400х250 кл.2 "" Техносталь""",6480₽/шт, 4 шт
"Угольник слесарный УШ- 60х40 кл.2 "" Техносталь""",790₽/шт, 4 шт
"Угольник слесарный УШ- 100х60 кл.1 ""Техносталь""",1150₽/шт, 9 шт
"Угольник слесарный УШ- 100х60 кл.2 ""Техносталь""",1050₽/шт, 5 шт
"Угольник слесарный УШ- 160х100 кл.1 ""Техносталь""",1960₽/шт, 11 шт
"Угольник слесарный УШ- 160х100 кл.2 "" Техносталь""",1840₽/шт, 5 шт
"Угольник слесарный УШ- 250х160 кл.1 ""Техносталь""",4150₽/шт, 0 шт
"Угольник слесарный УШ- 250х160 кл.2 ""Техносталь""",3670₽/шт, 7 шт
"Угольник слесарный УШ- 400х250 кл.1 ""Техносталь""",8990₽/шт, 2 шт
"Угольник слесарный УШ- 400х250 кл.2 ""Техносталь""",7700₽/шт, 2 шт
"Угольник слесарный УШ- 630х400 кл.1 ""Техносталь""",18050₽/шт, 1 шт
"Угольник слесарный УШ- 630х400 кл.2 ""Техносталь""",17100₽/шт, 2 шт
"Угольник столярный алюминиевый. 250 мм ""ONYX""",240₽/шт, 785 шт
"Угольник столярный алюминиевый. 300 мм ""ONYX""",315₽/шт, 636 шт
"Угольник столярный алюминиевый. 350 мм ""ONYX""",330₽/шт, 599 шт
"Угольник столярный алюминиевый. 400 мм ""ONYX""",365₽/шт, 420 шт
"Угольник столярный алюминиевый. 500 мм ""ONYX""",390₽/шт, 418 шт
"Стойка гибкая магнитная МС-29 ""GRIFF""",3350₽/шт, 1 шт
Угломер с нониусом 2УМ (2'),19500₽/шт, 2 шт
Угломер с нониусом 4УМ (10'),19500₽/шт, 1 шт
Угломер с нониусом 5УМ (5'),19500₽/шт, 1 шт
"Угломер типа 2-2 (0-320° 2') ""GRIFF""",5050₽/шт, 2 шт
"Штатив ШМ-II-Н ""GRIFF""",8100₽/шт, 3 шт
"Штангенглубиномер ШГ- 160 0,05 ""GRIFF""",4225₽/шт, 0 шт
"Штангенглубиномер ШГ- 250 0,05 ""GRIFF""",5110₽/шт, 0 шт
"Штангенрейсмас ШР- 250 0,05 ""GRIFF""",7900₽/шт, 1 шт
"Дальномер лазерный INFINITER 30 (0,05-30м, ±3 мм,сложение, вычитание, площадь, объем, трекинг)",2600₽/шт, 3 шт
"Дальномер лазерный CONDTROL Traccer 40 (0,03-40м, ±3мм, аккум., фронт, тыл, IP 54)",2450₽/шт, 0 шт
"Дальномер лазерный CONDTROL Vector 60 (0,05-60м, ±1,5мм, аккум., фронт, тыл, Bluetooth)",3940₽/шт, 1 шт
"Дальномер лазерный CONDTROL Vector 80 (0,05-80м, ±1,5мм, аккум., фронт, тыл, Bluetooth)",5255₽/шт, 2 шт
"Дальномер лазерный CONDTROL Vector 100 (0,05-100м, ±1,5мм, аккум., уклоном., фронт, тыл, Bluetooth)",8765₽/шт, 2 шт
"Дальномер лазерный CONDTROL Smart 40 (0,05-40м, ˜1,5мм,сложение, вычитание, площадь, объем)",2625₽/шт, 4 шт
"Дальномер лазерный CONDTROL Smart 60 (0,05-60м, ˜1,5мм,сложение, вычитание, площадь, объем)",3150₽/шт, 5 шт
"Дальномер лазерный CONDTROL XP3 Pro (0,05-120м, ±1,5мм, уклономер, Bluetooth)",7050₽/шт, 5 шт
"Дальномер лазерный CONDTROL XP4 (0,05-100м, ±1,5мм, уклономер, видоискатель)",13200₽/шт, 0 шт
"Крепление универсальное для лазерных нивелиров (1/4, 5/8) CONDTROL",1745₽/шт, 1 шт
"Нивелир лазерный CONDTROL Boden 3D (30/60м, ±0,3мм/м, 2гор.360+верт.360°,1/4''’, 5/8, сумка)",9645₽/шт, 2 шт
"Нивелир лазерный CONDTROL Fliesen 3D Laser (20/40м, ±0,3 мм/м, 2 гор.360+верт.360°,1/4''’, набор аксессуаров, кейс)",11400₽/шт, 1 шт
"Нивелир лазерный CONDTROL NEO G1-360 ЗЕЛЕНЫЙ (30/60м, ± 0,3мм/м, 360 горизонт, верт., 5/8’’,1/4’’)",4380₽/шт, 2 шт
"Нивелир лазерный CONDTROL Neo G200-ЗЕЛЕНЫЙ (50м, ±0,3 мм/м, гор.+верт. 140°, 5/8’’, 1/4’’, чехол.)",4050₽/шт, 1 шт
"Нивелир лазерный CONDTROL Neo G220 Set -ЗЕЛЕНЫЙ (50м, ±0,3 мм/м, гор.+верт. 140°, 5/8’’, 1/4’’, чехол.)",5260₽/шт, 5 шт
"Нивелир лазерный CONDTROL NEO GFX 360 ЗЕЛЕНЫЙ (30/40м, ± 0,2мм/м, 360 горизонт, 2 верт., 1/4’’)",7000₽/шт, 1 шт
"Нивелир лазерный CONDTROL NEO GFX 360-3 ЗЕЛЕНЫЙ (20/40м, ± 0,2мм/м, 360 горизонт, 2*360 верт, 1/4’’)",9645₽/шт, 3 шт
"Нивелир лазерный CONDTROL NEO X1-360 (30/60м, ± 0,3мм/м, 360 горизонт, верт., 5/8’’,1/4’’)",3500₽/шт, 1 шт
"Нивелир лазерный CONDTROL Neo X200 (30/60м, ± 0,3, крест, 5/8,1/4)",3150₽/шт, 1 шт
"Нивелир лазерный CONDTROL Neo X200 set (30/60м Neo X200, кейс, стяжка, штатив 140см, батарейки)",3900₽/шт, 3 шт
"Нивелир лазерный CONDTROL Omniliner 3D Green (20/60м, ± 3, 3*360, 1/4"", 5/8"", аккум, сумка)",20175₽/шт, 1 шт
"Нивелир лазерный CONDTROL QB Green SET (20 м, ± 0,5 мм/м, 1/4'', наклон, штатив)",3500₽/шт, 2 шт
"Нивелир лазерный CONDTROL XLiner Pento 360G (40/100 м, ±0,2 мм/м, гориз+верт 360, отвес,1/4’’, 5/8’)",16050₽/шт, 1 шт
"Нивелир лазерный INFINITER CL5 (30/50м, `0,2мм/м, 3 верт, 1гор, отвес, 5/8, кейс)",4245₽/шт, 1 шт
"Нивелир лазерный INFINITER CLG-3D FLOOR (30/60м,±0,3 мм/м, 2верт+гор 360°, 1/4”,5/8”,аккум, набор)",6100₽/шт, 0 шт
"Нивелир лазерный INFINITER CLG-3D New (30/60м,±0,3 мм/м, 2верт+гор 360°, 1/4”,5/8”,аккум, набор)",6470₽/шт, 7 шт
"Нивелир лазерный INFINITER CLG-4D new (30/60м,±0,3 мм/м, 2верт+2 гор 360°, 1/4”,5/8”,аккум, набор)",7550₽/шт, 10 шт
"Нивелир лазерный ротационный CONDTOL Easy Roto HVR (400 м, Li-Ion, IP55, 5/8"", набор аксес., кейс)",33700₽/шт, 2 шт
"Нивелир лазерный ротационный CONDTOL Roto HG (500 м, Li-Ion, IP55, 5/8"", приём, набор аксес., кейс)",49150₽/шт, 0 шт
"Нивелир лазерный ротационный CONDTOL Roto HVG (600 м, Ni-MH, IP67, 5/8"", набор аксес., кейс)",59150₽/шт, 1 шт
"Набор геодезический CONDTROL GEO Set (нивелир опт. х32, штатив, рейка 4м, инструменты)",20700₽/шт, 0 шт
"Нивелир оптическ.+рейка+штатив Geobox N7-32 trio (нив. х32, штатив, рейка 4м, Госреестр, с ПОВЕРКОЙ)",23265₽/шт, 7 шт
"Нивелир оптический BOSCH GOL 20 D+BT 160+GR 500 (60м,20-крат,штатив,рейка,кейс)/0601068402 **",42990₽/шт, 0 шт
"Нивелир оптический BOSCH GOL 26 D (100м,26-крат,кейс)/0601068000 **",32990₽/шт, 0 шт
"Нивелир оптический BOSCH GOL 26 D+BT 160+GR 500 (100м,26-крат,штатив,рейка,кейс)/0601068002 **",47890₽/шт, 0 шт
"Нивелир оптический BOSCH GOL 32 D (120м,32-крат,кейс)/0601068500 **",37790₽/шт, 0 шт
"Нивелир оптический CONDTROL 32X (кратность х32, футляр, отвес, Госреестр)",14550₽/шт, 1 шт
"Нивелир оптический CONDTROL 32X (кратность х32, футляр, отвес, Госреестр, с поверкой)",15900₽/шт, 1 шт
"Нивелир оптический DeWALT DW096PK (100м,26-крат,штатив,рейка,кейс) **",43350₽/шт, 0 шт
Рейка нивелирная CONDTROL TS-3 M,2275₽/шт, 8 шт
Рейка нивелирная CONDTROL TS-4 M,2625₽/шт, 5 шт
Рейка нивелирная CONDTROL TS-5 M,2975₽/шт, 11 шт
Рейка нивелирная Geobox TS-7 (7 м),4490₽/шт, 6 шт
"Штатив CONDTROL с элевационной головкой (190см, 5/8)",4730₽/шт, 1 шт
"Штатив для лазерных нивелиров, дальномеров (1/4"", 140 см)",2100₽/шт, 0 шт
"Штатив нивелирный алюм. S6-2 для оптических нивелир. (до 167 см, 5/8"") CONDTROL",5255₽/шт, 4 шт
"Пирометр CONDTROL Maxwell 3 (инфракрасный термометр, -30°С до 380°С)",2185₽/шт, 10 шт
"Пирометр CONDTROL Maxwell 4 (инфракрасный термометр, -30°С до 550°С)",4380₽/шт, 3 шт
"Вороток под головки 1/2"" 6910-0324 ГОСТ25601-83 (НИЗ)",160₽/шт, 15 шт
"Вороток под головки 1/2""-3/4""",1485₽/шт, 5 шт
"Вороток под головки 3/4""-1""(600мм) усиленный (БМ)",1540₽/шт, 5 шт
"Головка торцевая 8 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",53₽/шт, 151 шт
"Головка торцевая 9 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",75₽/шт, 7 шт
"Головка торцевая 10 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",57₽/шт, 164 шт
"Головка торцевая 11 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",67₽/шт, 5 шт
"Головка торцевая 12 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",69₽/шт, 205 шт
"Головка торцевая 13 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",69₽/шт, 202 шт
"Головка торцевая 14 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",64₽/шт, 157 шт
"Головка торцевая 15 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",75₽/шт, 25 шт
"Головка торцевая 16 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",81₽/шт, 35 шт
"Головка торцевая 17 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",82₽/шт, 174 шт
"Головка торцевая 18 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",81₽/шт, 43 шт
"Головка торцевая 19 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",84₽/шт, 205 шт
"Головка торцевая 21 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",93₽/шт, 12 шт
"Головка торцевая 22 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",93₽/шт, 106 шт
"Головка торцевая 24 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",102₽/шт, 172 шт
"Головка торцевая 25 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",105₽/шт, 7 шт
"Головка торцевая 27 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",115₽/шт, 193 шт
"Головка торцевая 30 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",129₽/шт, 67 шт
"Головка торцевая 32 мм 6-ти гр. кв.1/2"" ГОСТ57977-2017 (НИЗ)",122₽/шт, 92 шт
"Головка торцевая 36 мм 6-ти гр. кв.3/4""",610₽/шт, 14 шт
"Головка торцевая 36 мм 12-ти гр. кв.3/4""",410₽/шт, 15 шт
"Головка торцевая 41 мм 6-ти гр. кв.3/4""",710₽/шт, 2 шт
"Головка торцевая 41 мм 12-ти гр кв.3/4""",540₽/шт, 0 шт
"Головка торцевая 46 мм 6-ти гр кв.3/4""",845₽/шт, 6 шт
"Головка торцевая 50 мм 6-ти гр. кв.3/4""",930₽/шт, 4 шт
"Головка торцевая 55 мм 6-ти гр. кв.3/4""",1185₽/шт, 2 шт
"Головка торцевая 55 мм 12-ти гр. кв.3/4""",1050₽/шт, 5 шт
"Головка торцевая 60 мм 6-ти гр. кв.1""",1620₽/шт, 2 шт
"Головка торцевая 65 мм 6-ти гр. кв.1""",2160₽/шт, 3 шт
"Головка торцевая 65 мм 12-ти гр. кв.3/4""",1150₽/шт, 2 шт
"Головка торцевая 70 мм 6-ти гр. кв.1""",2480₽/шт, 2 шт
"Головка торцевая 75 мм 12-ти гр. кв.1""",2250₽/шт, 3 шт
"Головка торцевая 80 мм 12-ти гр. кв.1""",1420₽/шт, 0 шт
"Головка торцевая 85 мм 6-ти гр. кв.1""",1740₽/шт, 0 шт
"Головка торцевая 1/2""""DR, 36 мм Jonnesway",1200₽/шт, 2 шт
"Головка ударная торцевая 10 мм (1/2"",78мм) АвтоДело (40010)",210₽/шт, 44 шт
"Головка ударная торцевая 12 мм (1/2"",78мм) АвтоДело (40012)",192₽/шт, 26 шт
"Головка ударная торцевая 13 мм (1/2"",78мм) АвтоДело (40023)",190₽/шт, 46 шт
"Головка ударная торцевая 14 мм (1/2"",78мм) АвтоДело (40014)",190₽/шт, 57 шт
"Головка ударная торцевая 17 мм (1/2"",78мм) АвтоДело (40017)",215₽/шт, 93 шт
"Головка ударная торцевая 19 мм (1/2"",78мм) АвтоДело (40019)",205₽/шт, 67 шт
"Головка ударная торцевая 21 мм (1/2"",80мм) АвтоДело (40320)",300₽/шт, 0 шт
"Головка ударная торцевая 22 мм (1/2"",78мм) АвтоДело (40022)",230₽/шт, 38 шт
"Головка ударная торцевая 24 мм (1/2"",78мм) АвтоДело (40024)",260₽/шт, 40 шт
"Головка ударная торцевая 27 мм (1/2"",78мм) АвтоДело (40027)",348₽/шт, 14 шт
"Головка ударная торцевая 3/4""DR, 34 мм Jonnesway",1500₽/шт, 1 шт
"Головка ударная торцевая 30 мм (1"",80мм) АвтоДело (40330)",380₽/шт, 14 шт
"Головка ударная торцевая 32 мм (1"",80мм) АвтоДело (40331)",455₽/шт, 14 шт
"Головка ударная торцевая 36 мм (1"",80мм) АвтоДело (40336)",370₽/шт, 0 шт
"Головка ударная торцевая 41 мм (1"",80мм) АвтоДело (40341)",705₽/шт, 7 шт
"Головка ударная торцевая 46 мм (1"",80мм) АвтоДело (40346)",810₽/шт, 5 шт
"Головка ударная торцевая 50 мм (1"",80мм) АвтоДело (40350)",810₽/шт, 2 шт
"Головка ударная торцевая 55 мм (1"",80мм) АвтоДело (403355)",940₽/шт, 2 шт
"Ключ трещотка 1/2"" (250мм, 45зуб, 8град) АВТОДЕЛО (39728)",630₽/шт, 131 шт
"Ключ трещотка 1/2"" (250мм, 45зуб, 8град) БМ",785₽/шт, 18 шт
"Ключ трещотка 1/4"" (150мм, 72зуб, 5град) АВТОДЕЛО (39744)",440₽/шт, 34 шт
"Ключ трещотка 1/4"" (150мм, 72зуб, 5град) БМ",435₽/шт, 11 шт
"Ключ трещотка 3/4"" (500мм) флажковая БМ (638750)",2260₽/шт, 14 шт
"Ключ трещотка 3/4"" (500мм, 24зуб, 15град) флажковая AV-Steel (AV-538602)",3480₽/шт, 0 шт
